imageset,imagename,imagewidth,imageheight,class,difficulty,pose,truncated,xmin,xmax,ymin,ymax
test,000001,353,500,dog,0,Left,1,48,195,240,371
test,000001,353,500,person,0,Left,1,8,352,12,498
test,000002,335,500,train,0,Unspecified,0,139,207,200,301
test,000003,500,375,sofa,0,Unspecified,0,123,215,155,195
test,000003,500,375,chair,0,Left,0,239,307,156,205
test,000004,500,406,car,0,Frontal,0,13,84,311,362
test,000004,500,406,car,0,Unspecified,1,362,500,330,389
test,000004,500,406,car,0,Unspecified,0,235,334,328,375
test,000004,500,406,car,0,Unspecified,0,175,252,327,364
test,000004,500,406,car,0,Unspecified,0,139,189,320,359
test,000004,500,406,car,0,Unspecified,0,108,150,325,353
test,000004,500,406,car,0,Unspecified,0,84,121,323,350
test,000006,500,375,pottedplant,0,Unspecified,0,187,282,135,242
test,000006,500,375,diningtable,0,Unspecified,1,154,369,209,375
test,000006,500,375,chair,0,Left,1,255,366,207,375
test,000006,500,375,chair,1,Unspecified,1,298,332,195,247
test,000006,500,375,chair,1,Unspecified,1,279,308,190,231
test,000006,500,375,chair,1,Unspecified,1,137,151,192,199
test,000006,500,375,chair,1,Unspecified,1,137,156,198,212
test,000006,500,375,chair,0,Right,1,138,249,211,375
test,000008,500,375,chair,0,Frontal,0,192,364,16,249
test,000010,354,480,horse,0,Rear,0,87,258,97,427
test,000010,354,480,person,0,Unspecified,0,133,245,72,284
test,000011,500,324,cat,0,Unspecified,0,126,330,51,308
test,000013,500,375,cow,0,Right,0,299,446,160,252
test,000014,500,333,bus,0,Left,0,72,302,163,228
test,000014,500,333,car,0,Right,1,185,500,194,316
test,000014,500,333,car,0,Left,0,416,500,180,222
test,000014,500,333,person,0,Frontal,1,314,344,8,65
test,000014,500,333,person,0,Frontal,1,331,361,4,61
test,000014,500,333,person,0,Frontal,1,357,401,8,61
test,000014,500,333,car,1,Unspecified,1,163,267,197,244
test,000015,500,375,bicycle,0,Left,0,77,360,136,358
test,000018,380,285,dog,0,Left,0,31,358,30,279
test,000022,500,332,horse,0,Right,0,68,368,103,283
test,000022,500,332,person,0,Right,0,186,255,44,230
test,000025,500,375,cow,0,Unspecified,1,2,59,84,248
test,000025,500,375,cow,0,Unspecified,1,68,233,115,279
test,000025,500,375,cow,0,Unspecified,1,64,377,173,373
test,000025,500,375,person,0,Unspecified,1,320,496,2,375
test,000025,500,375,person,0,Unspecified,1,221,341,4,374
test,000025,500,375,person,0,Unspecified,1,135,220,14,148
test,000025,500,375,cow,0,Frontal,1,69,156,43,177
test,000025,500,375,person,0,Left,1,58,104,54,139
test,000025,500,375,person,0,Frontal,1,279,331,1,86
test,000025,500,375,person,0,Right,1,320,344,22,96
test,000025,500,375,person,1,Unspecified,1,337,390,1,107
test,000027,486,500,person,0,Unspecified,0,174,349,101,351
test,000028,375,500,cat,0,Unspecified,1,63,374,18,500
test,000029,500,331,dog,0,Unspecified,0,56,284,63,290
test,000031,500,335,train,0,Unspecified,0,41,430,77,255
test,000037,500,375,dog,0,Left,0,61,464,96,339
test,000038,500,375,bicycle,0,Right,0,159,279,178,246
test,000038,500,375,motorbike,0,Right,1,1,43,235,315
test,000038,500,375,person,0,Right,0,192,261,111,240
test,000040,500,332,bird,0,Right,0,1,384,52,290
test,000043,333,500,person,0,Unspecified,1,174,324,229,375
test,000043,333,500,person,0,Unspecified,1,5,250,145,500
test,000043,333,500,person,0,Unspecified,1,19,323,6,500
test,000045,500,375,tvmonitor,0,Frontal,0,280,483,64,252
test,000049,500,356,cat,0,Unspecified,0,178,356,131,227
